,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,GeneType
1,5.1,3.5,1.4,0.2,setosa,Strong
2,4.9,3,1.4,0.2,setosa,Strong
3,4.7,3.2,1.3,0.2,setosa,Strong
4,4.6,3.1,1.5,0.2,setosa,Strong
5,5,3.6,1.4,0.2,setosa,Strong
6,5.4,3.9,1.7,0.4,setosa,Strong
7,4.6,3.4,1.4,0.3,setosa,Strong
8,5,3.4,1.5,0.2,setosa,Strong
9,4.4,2.9,1.4,0.2,setosa,Strong
10,4.9,3.1,1.5,0.1,setosa,Strong
11,5.4,3.7,1.5,0.2,setosa,Strong
12,4.8,3.4,1.6,0.2,setosa,Strong
13,4.8,3,1.4,0.1,setosa,Strong
14,4.3,3,1.1,0.1,setosa,Strong
15,5.8,4,1.2,0.2,setosa,Strong
16,5.7,4.4,1.5,0.4,setosa,Strong
17,5.4,3.9,1.3,0.4,setosa,Weak
18,5.1,3.5,1.4,0.3,setosa,Weak
19,5.7,3.8,1.7,0.3,setosa,Weak
20,5.1,3.8,1.5,0.3,setosa,Weak
21,5.4,3.4,1.7,0.2,setosa,Weak
22,5.1,3.7,1.5,0.4,setosa,Weak
23,4.6,3.6,1,0.2,setosa,Weak
24,5.1,3.3,1.7,0.5,setosa,Weak
25,4.8,3.4,1.9,0.2,setosa,Weak
26,5,3,1.6,0.2,setosa,Weak
27,5,3.4,1.6,0.4,setosa,Weak
28,5.2,3.5,1.5,0.2,setosa,Weak
29,5.2,3.4,1.4,0.2,setosa,Weak
30,4.7,3.2,1.6,0.2,setosa,Weak
31,4.8,3.1,1.6,0.2,setosa,Weak
32,5.4,3.4,1.5,0.4,setosa,Weak
33,5.2,4.1,1.5,0.1,setosa,Weak
34,5.5,4.2,1.4,0.2,setosa,Weak
35,4.9,3.1,1.5,0.2,setosa,Weak
36,5,3.2,1.2,0.2,setosa,Weak
37,5.5,3.5,1.3,0.2,setosa,Weak
38,4.9,3.6,1.4,0.1,setosa,Weak
39,4.4,3,1.3,0.2,setosa,Weak
40,5.1,3.4,1.5,0.2,setosa,Weak
41,5,3.5,1.3,0.3,setosa,Weak
42,4.5,2.3,1.3,0.3,setosa,Weak
43,4.4,3.2,1.3,0.2,setosa,Weak
44,5,3.5,1.6,0.6,setosa,Weak
45,5.1,3.8,1.9,0.4,setosa,Weak
46,4.8,3,1.4,0.3,setosa,Weak
47,5.1,3.8,1.6,0.2,setosa,Weak
48,4.6,3.2,1.4,0.2,setosa,Weak
49,5.3,3.7,1.5,0.2,setosa,Weak
50,5,3.3,1.4,0.2,setosa,Weak
51,7,3.2,4.7,1.4,versicolor,Weak
52,6.4,3.2,4.5,1.5,versicolor,Weak
53,6.9,3.1,4.9,1.5,versicolor,Weak
54,5.5,2.3,4,1.3,versicolor,Weak
55,6.5,2.8,4.6,1.5,versicolor,Weak
56,5.7,2.8,4.5,1.3,versicolor,Weak
57,6.3,3.3,4.7,1.6,versicolor,Strong
58,4.9,2.4,3.3,1,versicolor,Strong
59,6.6,2.9,4.6,1.3,versicolor,Strong
60,5.2,2.7,3.9,1.4,versicolor,Strong
61,5,2,3.5,1,versicolor,Strong
62,5.9,3,4.2,1.5,versicolor,Strong
63,6,2.2,4,1,versicolor,Strong
64,6.1,2.9,4.7,1.4,versicolor,Strong
65,5.6,2.9,3.6,1.3,versicolor,Strong
66,6.7,3.1,4.4,1.4,versicolor,Strong
67,5.6,3,4.5,1.5,versicolor,Strong
68,5.8,2.7,4.1,1,versicolor,Strong
69,6.2,2.2,4.5,1.5,versicolor,Strong
70,5.6,2.5,3.9,1.1,versicolor,Strong
71,5.9,3.2,4.8,1.8,versicolor,Strong
72,6.1,2.8,4,1.3,versicolor,Strong
73,6.3,2.5,4.9,1.5,versicolor,Strong
74,6.1,2.8,4.7,1.2,versicolor,Strong
75,6.4,2.9,4.3,1.3,versicolor,Strong
76,6.6,3,4.4,1.4,versicolor,Strong
77,6.8,2.8,4.8,1.4,versicolor,Strong
78,6.7,3,5,1.7,versicolor,Strong
79,6,2.9,4.5,1.5,versicolor,Strong
80,5.7,2.6,3.5,1,versicolor,Strong
81,5.5,2.4,3.8,1.1,versicolor,Strong
82,5.5,2.4,3.7,1,versicolor,Strong
83,5.8,2.7,3.9,1.2,versicolor,Strong
84,6,2.7,5.1,1.6,versicolor,Strong
85,5.4,3,4.5,1.5,versicolor,Strong
86,6,3.4,4.5,1.6,versicolor,Strong
87,6.7,3.1,4.7,1.5,versicolor,Strong
88,6.3,2.3,4.4,1.3,versicolor,Strong
89,5.6,3,4.1,1.3,versicolor,Weak
90,5.5,2.5,4,1.3,versicolor,Weak
91,5.5,2.6,4.4,1.2,versicolor,Weak
92,6.1,3,4.6,1.4,versicolor,Weak
93,5.8,2.6,4,1.2,versicolor,Weak
94,5,2.3,3.3,1,versicolor,Weak
95,5.6,2.7,4.2,1.3,versicolor,Weak
96,5.7,3,4.2,1.2,versicolor,Weak
97,5.7,2.9,4.2,1.3,versicolor,Weak
98,6.2,2.9,4.3,1.3,versicolor,Weak
99,5.1,2.5,3,1.1,versicolor,Weak
100,5.7,2.8,4.1,1.3,versicolor,Weak
101,6.3,3.3,6,2.5,virginica,Weak
102,5.8,2.7,5.1,1.9,virginica,Weak
103,7.1,3,5.9,2.1,virginica,Weak
104,6.3,2.9,5.6,1.8,virginica,Weak
105,6.5,3,5.8,2.2,virginica,Weak
106,7.6,3,6.6,2.1,virginica,Weak
107,4.9,2.5,4.5,1.7,virginica,Weak
108,7.3,2.9,6.3,1.8,virginica,Weak
109,6.7,2.5,5.8,1.8,virginica,Weak
110,7.2,3.6,6.1,2.5,virginica,Weak
111,6.5,3.2,5.1,2,virginica,Weak
112,6.4,2.7,5.3,1.9,virginica,Weak
113,6.8,3,5.5,2.1,virginica,Weak
114,5.7,2.5,5,2,virginica,Weak
115,5.8,2.8,5.1,2.4,virginica,Weak
116,6.4,3.2,5.3,2.3,virginica,Weak
117,6.5,3,5.5,1.8,virginica,Weak
118,7.7,3.8,6.7,2.2,virginica,Weak
119,7.7,2.6,6.9,2.3,virginica,Weak
120,6,2.2,5,1.5,virginica,Weak
121,6.9,3.2,5.7,2.3,virginica,Weak
122,5.6,2.8,4.9,2,virginica,Weak
123,7.7,2.8,6.7,2,virginica,Weak
124,6.3,2.7,4.9,1.8,virginica,Weak
125,6.7,3.3,5.7,2.1,virginica,Weak
126,7.2,3.2,6,1.8,virginica,Weak
127,6.2,2.8,4.8,1.8,virginica,Weak
128,6.1,3,4.9,1.8,virginica,Weak
129,6.4,2.8,5.6,2.1,virginica,Weak
130,7.2,3,5.8,1.6,virginica,Weak
131,7.4,2.8,6.1,1.9,virginica,Weak
132,7.9,3.8,6.4,2,virginica,Weak
133,6.4,2.8,5.6,2.2,virginica,Weak
134,6.3,2.8,5.1,1.5,virginica,Weak
135,6.1,2.6,5.6,1.4,virginica,Weak
136,7.7,3,6.1,2.3,virginica,Weak
137,6.3,3.4,5.6,2.4,virginica,Weak
138,6.4,3.1,5.5,1.8,virginica,Weak
139,6,3,4.8,1.8,virginica,Weak
140,6.9,3.1,5.4,2.1,virginica,Weak
141,6.7,3.1,5.6,2.4,virginica,Weak
142,6.9,3.1,5.1,2.3,virginica,Weak
143,5.8,2.7,5.1,1.9,virginica,Strong
144,6.8,3.2,5.9,2.3,virginica,Strong
145,6.7,3.3,5.7,2.5,virginica,Strong
146,6.7,3,5.2,2.3,virginica,Strong
147,6.3,2.5,5,1.9,virginica,Strong
148,6.5,3,5.2,2,virginica,Strong
149,6.2,3.4,5.4,2.3,virginica,Strong
150,5.9,3,5.1,1.8,virginica,Strong
